starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 29 18:19:03 2021	1630228743	0	3848	3848	3725
Sun Aug 29 18:16:48 2021	1630228608	11	3837	3848	2628
Sun Aug 29 18:16:48 2021	1630228608	7	3845	3852	2839
Sun Aug 29 18:18:01 2021	1630228681	2	3851	3853	3208
Sun Aug 29 18:18:12 2021	1630228692	0	3858	3859	3349
Sun Aug 29 18:17:55 2021	1630228675	0	3861	3861	3425
Sun Aug 29 18:18:15 2021	1630228695	0	3862	3862	3293
Sun Aug 29 18:18:27 2021	1630228707	0	3892	3892	3224
Sun Aug 29 18:18:42 2021	1630228722	0	3895	3895	2907
Sun Aug 29 18:17:30 2021	1630228650	0	3896	3896	3335
Sun Aug 29 18:16:48 2021	1630228608	5	3904	3909	3573
Sun Aug 29 18:16:57 2021	1630228617	0	3909	3909	2357
Sun Aug 29 18:18:25 2021	1630228705	0	3910	3910	3004
Sun Aug 29 18:19:04 2021	1630228744	0	3915	3915	3218
Sun Aug 29 18:18:15 2021	1630228695	0	3919	3920	3858
Sun Aug 29 18:16:48 2021	1630228608	11	3911	3921	3597
Sun Aug 29 18:16:48 2021	1630228608	9	3913	3922	2514
Sun Aug 29 18:18:25 2021	1630228705	0	3924	3925	3799
Sun Aug 29 18:17:31 2021	1630228651	0	3926	3926	3625
Sun Aug 29 18:16:48 2021	1630228608	6	3938	3944	2552
Sun Aug 29 18:16:56 2021	1630228616	0	3945	3946	3524
Sun Aug 29 18:16:48 2021	1630228608	6	3941	3947	2893
Sun Aug 29 18:18:31 2021	1630228711	0	3958	3958	3856
Sun Aug 29 18:16:48 2021	1630228608	11	3948	3958	3718
Sun Aug 29 18:19:03 2021	1630228743	0	3959	3959	3839
Sun Aug 29 18:18:03 2021	1630228683	0	3985	3985	3108
Sun Aug 29 18:18:11 2021	1630228691	0	3991	3991	3903
Sun Aug 29 18:17:30 2021	1630228650	0	4031	4031	3051
Sun Aug 29 18:18:48 2021	1630228728	0	4038	4038	3077
Sun Aug 29 18:18:04 2021	1630228684	0	4044	4044	3423
Sun Aug 29 18:18:27 2021	1630228707	0	4058	4058	3352
Sun Aug 29 18:18:26 2021	1630228706	0	4065	4065	3312
Sun Aug 29 18:18:25 2021	1630228705	0	4067	4067	3242
Sun Aug 29 18:17:29 2021	1630228649	0	4079	4079	3516
Sun Aug 29 18:18:29 2021	1630228709	0	4083	4083	3578
Sun Aug 29 18:18:25 2021	1630228705	0	4105	4105	3010
Sun Aug 29 18:18:43 2021	1630228723	0	4109	4109	3440
Sun Aug 29 18:16:59 2021	1630228619	0	4111	4111	3929
